"""job_type"";""word"";""frequency"""
"""data_analysis"";""data"";""503"""
"""data_analysis"";""business"";""113"""
"""data_analysis"";""support"";""101"""
"""data_analysis"";""analysis"";""99"""
"""data_analysis"";""management"";""83"""
"""data_analysis"";""team"";""80"""
"""data_analysis"";""work"";""74"""
"""data_analysis"";""reports"";""74"""
"""data_analysis"";""develop"";""66"""
"""data_analysis"";""reporting"";""66"""
"""data_analysis"";""provide"";""56"""
"""data_analysis"";""ensure"";""52"""
"""data_analysis"";""analyst"";""49"""
"""data_analysis"";""program"";""47"""
"""data_analysis"";""analytics"";""46"""
"""data_analysis"";""maintain"";""45"""
"""data_analysis"";""quality"";""44"""
"""data_analysis"";""processes"";""44"""
"""data_analysis"";""assist"";""43"""
"""data_analysis"";""information"";""43"""
"""data_science"";""data"";""482"""
"""data_science"";""business"";""140"""
"""data_science"";""analysis"";""110"""
"""data_science"";""develop"";""89"""
"""data_science"";""team"";""84"""
"""data_science"";""development"";""79"""
"""data_science"";""work"";""77"""
"""data_science"";""support"";""75"""
"""data_science"";""analytics"";""73"""
"""data_science"";""models"";""73"""
"""data_science"";""learning"";""71"""
"""data_science"";""solutions"";""66"""
"""data_science"";""machine"";""64"""
"""data_science"";""science"";""63"""
"""data_science"";""techniques"";""61"""
"""data_science"";""statistical"";""57"""
"""data_science"";""provide"";""55"""
"""data_science"";""tools"";""53"""
"""data_science"";""new"";""52"""
"""data_science"";""algorithms"";""49"""
"""machine_learning"";""learning"";""174"""
"""machine_learning"";""data"";""160"""
"""machine_learning"";""machine"";""148"""
"""machine_learning"";""ml"";""113"""
"""machine_learning"";""models"";""106"""
"""machine_learning"";""team"";""83"""
"""machine_learning"";""technical"";""67"""
"""machine_learning"";""design"";""65"""
"""machine_learning"";""develop"";""59"""
"""machine_learning"";""engineering"";""57"""
"""machine_learning"";""development"";""56"""
"""machine_learning"";""model"";""52"""
"""machine_learning"";""build"";""51"""
"""machine_learning"";""software"";""47"""
"""machine_learning"";""product"";""47"""
"""machine_learning"";""work"";""44"""
"""machine_learning"";""systems"";""43"""
"""machine_learning"";""solutions"";""43"""
"""machine_learning"";""across"";""40"""
"""machine_learning"";""business"";""39"""